id,source,page,title,status,old_len,new_len
N2-vocab-0356,N2 Junbi Từ vựng,112,おじぎ,replaced,84,84
N2-vocab-0357,N2 Junbi Từ vựng,112,推薦,replaced,110,110
N2-vocab-0358,N2 Junbi Từ vựng,112,記号,replaced,64,64
N2-vocab-0359,N2 Junbi Từ vựng,113,勘,replaced,131,131
N2-vocab-0360,N2 Junbi Từ vựng,113,検索,replaced,100,100
N2-vocab-0361,N2 Junbi Từ vựng,114,設定,replaced,114,114
N2-vocab-0362,N2 Junbi Từ vựng,114,遺伝,replaced,57,57
N2-vocab-0363,N2 Junbi Từ vựng,114,後日,replaced,69,83
N2-vocab-0364,N2 Junbi Từ vựng,115,制度,replaced,109,109
N2-vocab-0365,N2 Junbi Từ vựng,115,作業,replaced,91,91
N2-vocab-0366,N2 Junbi Từ vựng,115,至急,replaced,89,89
N2-vocab-0367,N2 Junbi Từ vựng,115,年月,replaced,77,77
N2-vocab-0368,N2 Junbi Từ vựng,116,: 自然にあるものを人間が作る,not_found,158,
N2-vocab-0369,N2 Junbi Từ vựng,116,天然,replaced,77,197
N2-vocab-0370,N2 Junbi Từ vựng,116,重視,replaced,135,135
